carat,cut,colour,clarity,depth_percentage,table,x_width,y_width,z_width,price
0.51,VeryGood,G,VVS2,63.1,58,5.11,5.07,3.21,1974
1.4,VeryGood,I,VS2,59.2,60,7.35,7.3,4.34,7702
0.42,Premium,E,SI1,62.3,58,4.81,4.76,2.98,992
0.5,Ideal,G,VS2,62,56,5.09,5.11,3.16,1449
1.26,Ideal,F,SI1,60.6,56,7.05,6.98,4.25,6922
1.53,Premium,J,VVS1,61.6,59,7.35,7.39,4.54,9384
0.53,Ideal,G,VS2,61.8,56,5.21,5.18,3.21,1607
0.23,Ideal,G,VVS1,60.8,57,3.96,3.99,2.41,536
0.57,Ideal,H,SI1,59.3,60,5.44,5.48,3.24,1292
1.15,Premium,H,VS2,60.2,58,6.86,6.8,4.11,5191
0.71,Ideal,F,SI1,61.5,56,5.69,5.76,3.52,2610
0.36,Ideal,H,VVS2,61.3,55,4.62,4.64,2.84,705
0.37,Ideal,E,VS2,62.6,56,4.56,4.61,2.87,811
0.76,Ideal,E,SI1,62.4,54,5.84,5.86,3.65,3056
0.43,Ideal,G,IF,61.8,55,4.85,4.89,3.01,1433
0.24,VeryGood,E,VS2,61.7,57,3.99,4.02,2.47,461
0.5,Premium,D,SI1,59.1,61,5.18,5.07,3.03,1215
0.31,Ideal,F,IF,61.4,56,4.38,4.41,2.7,1061
1.22,VeryGood,H,SI1,62.5,59,6.79,6.82,4.25,6323
0.32,Premium,G,VS2,62.6,59,4.36,4.33,2.72,720
0.24,Ideal,F,VS2,62.2,57,3.96,4.01,2.48,419
1,Ideal,G,VS1,62.5,54,6.4,6.44,4.01,7648
0.32,Ideal,E,VS1,59.5,57,4.49,4.45,2.66,842
1.03,VeryGood,J,VS1,63.4,58,6.36,6.42,4.05,4292
0.3,VeryGood,I,SI1,61.4,58,4.3,4.33,2.65,394
0.38,Ideal,G,SI1,60.2,57,4.72,4.77,2.85,639
0.71,Premium,I,SI2,60.3,58,5.72,5.78,3.47,1821
0.33,Premium,H,IF,61.7,59,4.45,4.43,2.74,1010
0.41,VeryGood,J,VVS2,63.1,60,4.67,4.71,2.96,754
0.27,Ideal,F,VS2,61.9,54,4.14,4.16,2.57,583
1.31,Ideal,H,SI2,62.2,57,7,6.96,4.34,6602
0.79,VeryGood,D,SI2,63.2,57,5.81,5.86,3.69,3081
0.44,Ideal,I,VVS2,61.1,57,4.91,4.95,3.01,957
0.27,Premium,D,VS2,62,57,4.15,4.11,2.56,603
0.43,Good,F,SI1,60.7,61,4.86,4.89,2.96,706
0.3,Ideal,D,VVS2,61.9,55,4.28,4.31,2.66,814
0.52,Ideal,G,VS2,61.2,56,5.16,5.2,3.17,1586
0.3,Ideal,H,SI1,61.6,54,4.33,4.37,2.68,450
0.4,VeryGood,J,VS2,60.9,62,4.73,4.76,2.89,596
0.4,VeryGood,E,VS1,62.4,54,4.71,4.75,2.95,1053
0.33,Ideal,E,VVS1,62.2,55,4.42,4.46,2.76,986
